word,pinyin,tones,tone_pattern,thai,surface_tone_pattern
爱,ài,4,4,รัก,4
八,bā,1,1,แปด,1
爸爸,bàba,4,4,พ่อ,4
吧,ba,5,5,นะ/เถอะ,5
白天,báitiān,2,2,กลางวัน,2
百,bǎi,3,3,ร้อย,3
半,bàn,4,4,ครึ่ง,4
包子,bāozi,1,1,ซาลาเปา,1
杯子,bēizi,1,1,ถ้วย/แก้ว,1
本,běn,3,3,ลักษณนามหนังสือ,3
边,biān,5,5,ด้าน/ข้าง,5
病,bìng,4,4,เจ็บป่วย/โรค,4
不,bù,4,4,ไม่,4
不客气,bú kèqi,2 | 4,2+4,ไม่เป็นไร/ยินดี,2+4
不要,búyào,2,2,อย่า/ไม่ต้องการ,2
菜,cài,4,4,ผัก/อาหาร,4
茶,chá,2,2,ชา,2
唱,chàng,4,4,ร้องเพลง,4
超市,chāoshì,1,1,ซูเปอร์มาร์เก็ต,1
车,chē,1,1,รถ,1
吃,chī,1,1,กิน,1
出租车,chūzūchē,1,1,แท็กซี่,1
穿,chuān,5,5,สวมใส่,5
打电话,dǎ diànhuà,3 | 5,3+5,โทรศัพท์,3+5
大,dà,4,4,ใหญ่,4
大家,dàjiā,4,4,ทุกคน,4
大学,dàxué,4,4,มหาวิทยาลัย,4
大学生,dàxuéshēng,4,4,นักศึกษามหาวิทยาลัย,4
到,dào,4,4,ถึง/มาถึง,4
的,de,5,5,ของ/ที่,5
第,dì,4,4,ลำดับที่,4
弟弟,dìdi,4,4,น้องชาย,4
点,diǎn,5,5,จุด/โมง,5
店,diàn,5,5,ร้าน,5
电话,diànhuà,5,5,โทรศัพท์,5
电脑,diànnǎo,5,5,คอมพิวเตอร์,5
电视,diànshì,5,5,โทรทัศน์,5
电影,diànyǐng,5,5,ภาพยนตร์,5
电影院,diànyǐngyuàn,5,5,โรงภาพยนตร์,5
东西,dōngxi,1,1,สิ่งของ,1
都,dōu,1,1,ทั้งหมด/ล้วน,1
读,dú,2,2,อ่าน,2
读书,dúshū,2,2,อ่านหนังสือ,2
对,duì,5,5,ถูกต้อง/ต่อ/คู่,5
对不起,duìbuqǐ,5,5,ขอโทษ,5
多,duō,5,5,มาก,5
多少,duōshao,5,5,เท่าไร/กี่,5
儿子,érzi,2,2,ลูกชาย,2
二,èr,4,4,สอง,4
饭,fàn,4,4,ข้าว/อาหาร,4
饭店,fàndiàn,4,4,ร้านอาหาร,4
房间,fángjiān,2,2,ห้อง,2
非常,fēicháng,1,1,มาก/อย่างยิ่ง,1
飞机,fēijī,1,1,เครื่องบิน,1
分,fēn,1,1,นาที/แบ่ง,1
分钟,fēnzhōng,1,1,นาที,1
高兴,gāoxìng,1,1,มีความสุข/ดีใจ,1
歌,gē,1,1,เพลง,1
哥哥,gēge,1,1,พี่ชาย,1
个,gè,4,4,ลักษณนามทั่วไป,4
给,gěi,3,3,ให้,3
公司,gōngsī,1,1,บริษัท,1
工作,gōngzuò,1,1,งาน/ทำงาน,1
狗,gǒu,3,3,สุนัข,3
贵,guì,5,5,แพง,5
国,guó,5,5,ประเทศ,5
还,hái,2,2,ยัง/อีก,2
孩子,háizi,2,2,เด็ก,2
汉语,Hànyǔ,4,4,ภาษาจีน,4
汉字,Hànzì,4,4,อักษรจีน,4
好,hǎo,3,3,ดี,3
好吃,hǎochī,3,3,อร่อย,3
好看,hǎokàn,3,3,สวย/ดูดี,3
好听,hǎotīng,3,3,ฟังเพราะ,3
好玩儿,hǎowánr,3,3,สนุก,3
号,hào,4,4,หมายเลข,4
喝,hē,1,1,ดื่ม,1
和,hé,2,2,และ/กับ,2
很,hěn,3,3,มาก,3
后,hòu,4,4,ข้างหลัง/ภายหลัง,4
回,huí,5,5,กลับ,5
会,huì,5,5,สามารถ/เป็น,5
火车,huǒchē,5,5,รถไฟ,5
鸡蛋,jīdàn,1,1,ไข่,1
几,jǐ,3,3,กี่/ไม่กี่,3
家,jiā,5,5,บ้าน/ครอบครัว,5
家人,jiārén,5,5,สมาชิกในครอบครัว,5
见,jiàn,5,5,เห็น/พบ,5
件,jiàn,5,5,ลักษณนามสิ่งของ,5
饺子,jiǎozi,5,5,เกี๊ยว,5
叫,jiào,5,5,ชื่อว่า/เรียก,5
姐姐,jiějie,5,5,พี่สาว,5
今年,jīnnián,1,1,ปีนี้,1
今天,jīntiān,1,1,วันนี้,1
九,jiǔ,5,5,เก้า,5
觉得,juéde,5,5,รู้สึก/คิดว่า,5
开,kāi,1,1,เปิด,1
开车,kāichē,1,1,ขับรถ,1
看,kàn,4,4,ดู/มอง,4
看病,kànbìng,4,4,ไปหาหมอ,4
看见,kànjiàn,4,4,เห็น,4
可以,kěyǐ,3,3,สามารถ/ได้,3
课,kè,4,4,ชั้นเรียน/บทเรียน,4
口,kǒu,3,3,ปาก/ลักษณนามสมาชิกครอบครัว,3
块,kuài,5,5,ก้อน/ชิ้น/หยวน,5
来,lái,2,2,มา,2
老师,lǎoshī,3,3,ครู,3
了,le,5,5,แล้ว/แสดงการเปลี่ยนแปลง,5
冷,lěng,3,3,หนาว/เย็น,3
里,lǐ,3,3,ข้างใน,3
两,liǎng,5,5,สอง,5
零,líng,2,2,ศูนย์,2
六,liù,5,5,หก,5
妈妈,māma,1,1,แม่,1
吗,ma,5,5,ไหม,5
买,mǎi,3,3,ซื้อ,3
卖,mài,4,4,ขาย,4
忙,máng,2,2,ยุ่ง,2
猫,māo,1,1,แมว,1
没关系,méi guānxi,2 | 5,2+5,ไม่เป็นไร,2+5
没事,méishì,2,2,ไม่เป็นไร/ไม่มีอะไร,2
没有,méiyǒu,2,2,ไม่มี/ไม่ได้,2
妹妹,mèimei,4,4,น้องสาว,4
们,men,5,5,คำเติมท้ายแสดงพหูพจน์,5
米饭,mǐfàn,3,3,ข้าวสวย,3
面包,miànbāo,5,5,ขนมปัง,5
面条儿,miàntiáor,5,5,บะหมี่/ก๋วยเตี๋ยว,5
明年,míngnián,2,2,ปีหน้า,2
明天,míngtiān,2,2,พรุ่งนี้,2
名字,míngzi,2,2,ชื่อ,2
哪,nǎ,3,3,ไหน/อะไร,3
哪个,nǎge,3,3,อันไหน,3
哪里,nǎlǐ,3,3,ที่ไหน,3
哪儿,nǎr,3,3,ที่ไหน,3
哪些,nǎxiē,3,3,สิ่งไหนบ้าง,3
那,nà,4,4,นั้น/แล้ว,4
那边,nàbiān,4,4,ทางโน้น,4
那个,nàge,4,4,อันนั้น,4
那里,nàlǐ,4,4,ที่นั่น,4
那儿,nàr,4,4,ที่นั่น,4
那些,nàxiē,4,4,เหล่านั้น,4
男,nán,2,2,ผู้ชาย/เพศชาย,2
男朋友,nánpéngyou,2,2,แฟนหนุ่ม,2
呢,ne,5,5,ล่ะ/หรือ,5
能,néng,2,2,สามารถ,2
你,nǐ,3,3,คุณ/เธอ,3
你好,nǐ hǎo,3 | 3,3+3,สวัสดี,2+3
你们,nǐmen,3,3,พวกคุณ,3
年,nián,5,5,ปี,5
您,nín,2,2,คุณ (สุภาพ),2
牛奶,niúnǎi,5,5,นม,5
女,nǚ,3,3,ผู้หญิง/เพศหญิง,3
女儿,nǚ’ér,3,3,ลูกสาว,3
女朋友,nǚpéngyou,3,3,แฟนสาว,3
女士,nǚshì,3,3,คุณผู้หญิง/นางสาว,3
朋友,péngyou,2,2,เพื่อน,2
便宜,piányi,5,5,ถูก,5
漂亮,piàoliang,5,5,สวย,5
苹果,píngguǒ,2,2,แอปเปิล,2
七,qī,1,1,เจ็ด,1
起床,qǐchuáng,3,3,ตื่นนอน,3
千,qiān,5,5,พัน,5
前,qián,5,5,ข้างหน้า/ก่อน,5
钱,qián,5,5,เงิน,5
请,qǐng,3,3,กรุณา/เชิญ,3
请问,qǐngwèn,3,3,ขอถามหน่อย,3
去,qù,4,4,ไป,4
去年,qùnián,4,4,ปีที่แล้ว,4
热,rè,4,4,ร้อน,4
人,rén,2,2,คน,2
认识,rènshi,4,4,รู้จัก,4
日,rì,4,4,วัน/ดวงอาทิตย์,4
三,sān,1,1,สาม,1
商店,shāngdiàn,1,1,ร้านค้า,1
上,shàng,4,4,บน/ขึ้น,4
上班,shàngbān,4,4,ไปทำงาน,4
上课,shàngkè,4,4,เข้าเรียน,4
上午,shàngwǔ,4,4,ตอนเช้า,4
上学,shàngxué,4,4,ไปโรงเรียน,4
少,shǎo,3,3,น้อย,3
谁,shéi/shuí,2,2,ใคร,2
什么,shénme,2,2,อะไร,2
生病,shēngbìng,1,1,ป่วย,1
十,shí,2,2,สิบ,2
时候,shíhou,2,2,เวลา/ช่วงเวลา,2
时间,shíjiān,2,2,เวลา,2
事,shì,4,4,เรื่อง/สิ่ง,4
是,shì,4,4,เป็น/คือ,4
手机,shǒujī,3,3,โทรศัพท์มือถือ,3
书,shū,1,1,หนังสือ,1
书店,shūdiàn,1,1,ร้านหนังสือ,1
水,shuǐ,5,5,น้ำ,5
水果,shuǐguǒ,5,5,ผลไม้,5
睡,shuì,5,5,นอน,5
睡觉,shuìjiào,5,5,นอนหลับ,5
说,shuō,5,5,พูด,5
说话,shuōhuà,5,5,พูดคุย,5
四,sì,4,4,สี่,4
岁,suì,5,5,ปี (อายุ),5
他,tā,1,1,เขา,1
它,tā,1,1,มัน,1
她,tā,1,1,เธอ/หล่อน,1
他们,tāmen,1,1,พวกเขา,1
它们,tāmen,1,1,พวกมัน,1
她们,tāmen,1,1,พวกเธอ,1
太,tài,4,4,เกินไป/มาก,4
天,tiān,5,5,วัน/ท้องฟ้า,5
天气,tiānqì,5,5,สภาพอากาศ,5
听,tīng,1,1,ฟัง,1
听见,tīngjiàn,1,1,ได้ยิน,1
同学,tóngxué,2,2,เพื่อนร่วมชั้น,2
外,wài,4,4,ข้างนอก,4
外边,wàibian,4,4,ด้านนอก,4
玩,wán,2,2,เล่น,2
晚,wǎn,3,3,สาย/ดึก,3
晚饭,wǎnfàn,3,3,อาหารเย็น,3
晚上,wǎnshang,3,3,ตอนเย็น/กลางคืน,3
喂,wèi,4,4,ฮัลโหล (รับโทรศัพท์),4
问,wèn,4,4,ถาม,4
问题,wèntí,4,4,คำถาม/ปัญหา,4
我,wǒ,3,3,ฉัน/ผม,3
我们,wǒmen,3,3,พวกเรา,3
五,wǔ,3,3,ห้า,3
午饭,wǔfàn,3,3,อาหารกลางวัน,3
喜欢,xǐhuan,3,3,ชอบ,3
下,xià,5,5,ล่าง/ลง,5
下雨,xià yǔ,5 | 3,5+3,ฝนตก,5+3
下班,xiàbān,5,5,เลิกงาน,5
下课,xiàkè,5,5,เลิกเรียน,5
下午,xiàwǔ,5,5,ตอนบ่าย,5
先生,xiānsheng,5,5,คุณผู้ชาย/นาย,5
现在,xiànzài,5,5,ตอนนี้,5
想,xiǎng,5,5,คิด/อยาก,5
小,xiǎo,5,5,เล็ก,5
小朋友,xiǎopéngyǒu,5,5,เด็ก/หนูน้อย,5
小时,xiǎoshí,5,5,ชั่วโมง,5
小学,xiǎoxué,5,5,โรงเรียนประถม,5
小学生,xiǎoxuéshēng,5,5,นักเรียนประถม,5
些,xiē,5,5,บางส่วน/จำนวนหนึ่ง,5
写,xiě,5,5,เขียน,5
谢谢,xièxie,5,5,ขอบคุณ,5
新,xīn,1,1,ใหม่,1
星期,xīngqī,1,1,สัปดาห์,1
星期日,xīngqīrì,1,1,วันอาทิตย์,1
星期天,xīngqītiān,1,1,วันอาทิตย์,1
休息,xiūxi,5,5,พักผ่อน,5
学,xué,5,5,เรียน/ศึกษา,5
学生,xuéshēng,5,5,นักเรียน,5
学习,xuéxí,5,5,เรียน/ศึกษา,5
学校,xuéxiào,5,5,โรงเรียน,5
雪,xuě,5,5,หิมะ,5
要,yào,4,4,ต้องการ/จะ,4
也,yě,3,3,ก็/ด้วย,3
一,yī,1,1,หนึ่ง,1
衣服,yīfu,1,1,เสื้อผ้า,1
医生,yīshēng,1,1,หมอ,1
医院,yīyuàn,1,1,โรงพยาบาล,1
一半,yíbàn,2,2,ครึ่งหนึ่ง,2
一下,yíxià,2,2,สักหน่อย/ครั้งหนึ่ง,2
椅子,yǐzi,3,3,เก้าอี้,3
一点儿,yìdiǎnr,4,4,เล็กน้อย,4
一些,yìxiē,4,4,บางส่วน/บางอย่าง,4
有,yǒu,3,3,มี,3
有的,yǒude,3,3,บางคน/บางสิ่ง,3
有点儿,yǒudiǎnr,3,3,ค่อนข้าง/เล็กน้อย,3
有些,yǒuxiē,3,3,บางส่วน/ค่อนข้าง,3
雨,yǔ,3,3,ฝน,3
元,yuán,5,5,หยวน,5
月,yuè,5,5,เดือน/ดวงจันทร์,5
再,zài,4,4,อีกครั้ง,4
在,zài,4,4,อยู่ที่/กำลัง,4
再见,zàijiàn,4,4,ลาก่อน,4
早,zǎo,3,3,เช้า/เร็ว,3
早饭,zǎofàn,3,3,อาหารเช้า,3
早上,zǎoshang,3,3,ตอนเช้า,3
怎么,zěnme,3,3,อย่างไร,3
怎么样,zěnmeyàng,3,3,เป็นอย่างไรบ้าง,3
找,zhǎo,3,3,หา,3
这,zhè,4,4,นี้,4
这边,zhèbiān,4,4,ทางนี้,4
这个,zhège,4,4,อันนี้,4
这里,zhèlǐ,4,4,ที่นี่,4
这儿,zhèr,4,4,ที่นี่,4
这些,zhèxiē,4,4,เหล่านี้,4
真,zhēn,1,1,จริงๆ,1
正在,zhèngzài,4,4,กำลัง,4
只,zhī,1,1,ลักษณนามสัตว์/หนึ่งในคู่,1
知道,zhīdào,1,1,รู้,1
中国,Zhōngguó,1,1,ประเทศจีน,1
中文,Zhōngwén,1,1,ภาษาจีน,1
中午,zhōngwǔ,1,1,เที่ยง,1
中学,zhōngxué,1,1,โรงเรียนมัธยม,1
中学生,zhōngxuéshēng,1,1,นักเรียนมัธยม,1
住,zhù,4,4,อาศัยอยู่,4
桌子,zhuōzi,5,5,โต๊ะ,5
字,zì,4,4,ตัวอักษร,4
昨天,zuótiān,5,5,เมื่อวาน,5
坐,zuò,5,5,นั่ง,5
做,zuò,5,5,ทำ,5
做饭,zuò fàn,5 | 4,5+4,ทำอาหาร,5+4
